"","day","food_ca","avg_price_food_ca","food_wi","avg_price_food_wi","food_tx","avg_price_food_tx","hobby_ca","avg_price_hobby_ca","hobby_wi","avg_price_hobby_wi","hobby_tx","avg_price_hobby_tx","house_ca","avg_price_house_ca","house_wi","avg_price_house_wi","house_tx","avg_price_house_tx","date","wm_yr_wk","weekday","wday","month","year","event_name_1","event_type_1","event_name_2","event_type_2","snap_CA","snap_TX","snap_WI"
"1","d_1",10101,3.0165445026178,6224,2.87431111111111,6853,2.94567313019391,1802,4.64807531380753,1083,4.66921428571429,879,4.70229166666667,2292,5.51469455511288,1691,5.39676190476191,1706,5.36060408921933,"2011-01-29",11101,"Saturday",1,1,2011,NA,NA,NA,NA,0,0,0
"2","d_10",8637,3.04791131371736,4759,2.91691340782123,5505,2.98468944099379,1508,4.63180147058824,583,4.73282407407407,524,4.677640625,1677,5.59721518987342,1089,5.55828451882845,1290,5.45867741935484,"2011-02-07",11102,"Monday",3,2,2011,NA,NA,NA,NA,1,1,0
"3","d_100",7425,3.06503543586109,3529,2.98160409556314,5429,3.05355019388195,1565,4.76584062196307,580,4.76268948655257,735,4.70997536945813,2241,5.5874284351145,908,5.62961612284069,1276,5.58892901618929,"2011-05-08",11115,"Sunday",2,5,2011,"Mother's day","Cultural",NA,NA,1,0,1
"4","d_1000",8471,3.18563521464371,5422,3.28087619047619,5383,3.21850935093509,1506,5.43832992849847,844,5.43686287625418,885,5.40527908540686,3089,5.36746255760369,1617,5.3666870696251,2043,5.36943960620977,"2013-10-24",11339,"Thursday",6,10,2013,NA,NA,NA,NA,0,0,0
"5","d_1001",9912,3.18563521464371,6793,3.28087619047619,5923,3.21850935093509,1700,5.43832992849847,907,5.43686287625418,869,5.40527908540686,3345,5.36746255760369,2076,5.3666870696251,2352,5.36943960620977,"2013-10-25",11339,"Friday",7,10,2013,NA,NA,NA,NA,0,0,0
"6","d_1002",12320,3.18641131664853,8167,3.27979896767183,7469,3.2167279714521,2270,5.43699182839632,1242,5.43852941176471,1059,5.40507733691997,4453,5.36803684513529,2476,5.36619664634146,2998,5.36651910707529,"2013-10-26",11340,"Saturday",1,10,2013,NA,NA,NA,NA,0,0,0
"7","d_1003",12445,3.18641131664853,6509,3.27979896767183,8024,3.2167279714521,2235,5.43699182839632,629,5.43852941176471,1202,5.40507733691997,4779,5.36803684513529,1855,5.36619664634146,2987,5.36651910707529,"2013-10-27",11340,"Sunday",2,10,2013,NA,NA,NA,NA,0,0,0
"8","d_1004",10123,3.18641131664853,5169,3.27979896767183,6361,3.2167279714521,1632,5.43699182839632,817,5.43852941176471,824,5.40507733691997,3394,5.36803684513529,1552,5.36619664634146,2186,5.36651910707529,"2013-10-28",11340,"Monday",3,10,2013,NA,NA,NA,NA,0,0,0
"9","d_1005",9038,3.18641131664853,5470,3.27979896767183,5396,3.2167279714521,1661,5.43699182839632,781,5.43852941176471,756,5.40507733691997,3081,5.36803684513529,1489,5.36619664634146,1857,5.36651910707529,"2013-10-29",11340,"Tuesday",4,10,2013,NA,NA,NA,NA,0,0,0
"10","d_1006",10242,3.18641131664853,4883,3.27979896767183,6046,3.2167279714521,1923,5.43699182839632,743,5.43852941176471,728,5.40507733691997,3293,5.36803684513529,1423,5.36619664634146,1855,5.36651910707529,"2013-10-30",11340,"Wednesday",5,10,2013,NA,NA,NA,NA,0,0,0
"11","d_1007",8092,3.18641131664853,5382,3.27979896767183,5490,3.2167279714521,1322,5.43699182839632,662,5.43852941176471,604,5.40507733691997,2308,5.36803684513529,1643,5.36619664634146,1531,5.36651910707529,"2013-10-31",11340,"Thursday",6,10,2013,"Halloween","Cultural",NA,NA,0,0,0
